DEFENSE →
ATTACK ↴  NOR FIR WAT ELE GRA ICE FIG POI GRO FLY PSY BUG ROC GHO DRA DAR STE
NORMAL   |   |   |   |   |   |   |   |   |   |   |   |   | ½ | 0 |   |   | ½
FIRE     |   | ½ | ½ |   | 2 | 2 |   |   |   |   |   | 2 | ½ |   | ½ |   | 2
WATER    |   | 2 | ½ |   | ½ |   |   |   | 2 |   |   |   | 2 |   | ½ |   |
ELECTRIC |   |   | 2 | ½ | ½ |   |   |   | 0 | 2 |   |   |   |   | ½ |   |
GRASS    |   | ½ | 2 |   | ½ |   |   | ½ | 2 | ½ |   | ½ | 2 |   | ½ |   | ½
ICE      |   | ½ | ½ |   | 2 | ½ |   |   | 2 | 2 |   |   |   |   | 2 |   | ½
FIGHTING | 2 |   |   |   |   | 2 |   | ½ |   | ½ | ½ | ½ | 2 | 0 |   | 2 | 2
POISON   |   |   |   |   | 2 |   |   | ½ | ½ |   |   |   | ½ | ½ |   |   | 0
GROUND   |   | 2 |   | 2 | ½ |   |   | 2 |   | 0 |   | ½ | 2 |   |   |   | 2
FLYING   |   |   |   | ½ | 2 |   | 2 |   |   |   |   | 2 | ½ |   |   |   | ½
PSYCHIC  |   |   |   |   |   |   | 2 | 2 |   |   | ½ |   |   |   |   | 0 | ½
BUG      |   | ½ |   |   | 2 |   | ½ | ½ |   | ½ | 2 |   |   | ½ |   | 2 | ½
ROCK     |   | 2 |   |   |   | 2 | ½ |   | ½ | 2 |   | 2 |   |   |   |   | ½
GHOST    | 0 |   |   |   |   |   |   |   |   |   | 2 |   |   | 2 |   | ½ | ½
DRAGON   |   |   |   |   |   |   |   |   |   |   |   |   |   |   | 2 |   | ½
DARK     |   |   |   |   |   |   | ½ |   |   |   | 2 |   |   | 2 |   | ½ | ½
STEEL    |   | ½ | ½ | ½ |   | 2 |   |   |   |   |   |   | 2 |   |   |   | ½
